State,publicSchoolCount,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2023-24,Total Prekindergarten - male [State] 2023-24,Total Prekindergarten - female [State] 2023-24,Total Kindergarten - male [State] 2023-24,Total Kindergarten - female [State] 2023-24,Total Grade 1 - male [State] 2023-24,Total Grade 1 - female [State] 2023-24,Total Grade 2 - male [State] 2023-24,Total Grade 2 - female [State] 2023-24,Total Grade 3 - male [State] 2023-24,Total Grade 3 - female [State] 2023-24,Total Grade 4 - male [State] 2023-24,Total Grade 4 - female [State] 2023-24,Total Grade 5 - male [State] 2023-24,Total Grade 5 - female [State] 2023-24,Total Grade 6 - male [State] 2023-24,Total Grade 6 - female [State] 2023-24,Total Grade 7 - male [State] 2023-24,Total Grade 7 - female [State] 2023-24,Total Grade 8 - male [State] 2023-24,Total Grade 8 - female [State] 2023-24,Total Grade 9 - male [State] 2023-24,Total Grade 9 - female [State] 2023-24,Total Grade 10 - male [State] 2023-24,Total Grade 10 - female [State] 2023-24,Total Grade 11 - male [State] 2023-24,Total Grade 11 - female [State] 2023-24,Total Grade 12 - male [State] 2023-24,Total Grade 12 - female [State] 2023-24,StudentTeacher,GradRate,CollegeTotal
ALABAMA,1527,748650,11213,10711,28964,26917,30079,28435,29882,28094,28235,26844,27774,26376,27771,26315,28224,26793,28970,26973,29289,27263,31394,29018,29793,28513,27562,26921,25350,24977,17.47,N/A,N/A
ALASKA,498,131243,1824,1496,4831,4426,4943,4752,5114,4913,5013,4774,5059,4886,5040,4804,5081,4870,5083,4772,5013,4773,5301,4892,5237,4736,5128,4717,4979,4786,18.17,N/A,N/A
ARIZONA,2557,1117630,11914,8896,36731,35589,39455,38526,41736,40023,40603,39083,41914,40331,41879,40504,42023,40355,42591,41133,43202,41485,46066,43581,47127,45373,45649,44556,48570,48202,22.69,N/A,N/A
ARKANSAS,1106,484978,4851,5251,17895,16881,18318,17445,18780,17986,18283,17419,18316,17535,18392,17540,18800,17391,18794,17810,19124,18101,20675,19199,20215,19437,19219,18460,16551,16136,12.51,N/A,N/A
CALIFORNIA,10349,5837338,–,–,266065,256002,203175,193118,212503,201862,213810,202435,218741,207317,220928,209538,222491,210965,226417,213974,227626,215008,239016,227026,246669,229519,242002,227483,258264,239756,21.77,.864,N/A
COLORADO,1908,865661,16962,15085,29270,27990,30380,29058,31954,30523,30815,29655,31519,30177,31550,30030,32038,30137,32583,30875,33237,31378,35788,33413,36091,33680,34982,33358,36985,35753,16.10,N/A,N/A
CONNECTICUT,1018,512652,10846,8682,17863,16687,18134,17340,18818,18286,17916,17031,18897,17819,18911,17972,19019,18136,19155,18399,19523,18564,21896,20310,21395,19640,20716,19498,21146,19462,11.89,N/A,N/A
DELAWARE,235,141842,1746,783,5043,4719,5252,4750,5439,5128,5066,5080,5269,4923,5369,5266,5500,5237,5545,5324,5722,5324,6574,6078,5993,5675,5409,5410,5085,5133,14.31,N/A,N/A
DISTRICT OF COLUMBIA,245,92794,6219,6004,3695,3525,3607,3571,3673,3458,3407,3382,3270,3168,3282,3049,3098,2892,2960,2768,2841,2797,3725,3629,2842,2839,2364,2453,1961,1986,11.13,N/A,N/A
FLORIDA,4248,2872335,37360,28384,100224,95240,105146,99684,108515,103072,112264,105678,109985,104357,105495,100129,108002,103152,115106,108222,112039,106492,119295,113641,120454,115559,111470,109544,108470,105356,18.44,N/A,N/A
GEORGIA,2327,1749701,26871,23498,60958,57803,63910,60954,65515,62948,64014,61721,65270,62017,65568,62910,66163,63446,67386,64406,68608,65370,80042,74429,73926,70668,66006,65602,59757,59935,14.15,N/A,N/A
HAWAII,296,169308,1167,492,6240,5723,6821,6239,6950,6350,6633,6236,6996,6460,7171,6643,6839,6350,6752,6294,6661,6238,6374,5761,7128,6652,6527,6073,5710,5358,13.98,N/A,N/A
IDAHO,810,316414,2586,1470,10581,10072,11665,11021,12055,11588,12100,11656,12376,11639,12309,11925,12408,11713,12464,12117,12719,12141,13131,12313,13125,12697,12678,12210,12002,11653,17.61,N/A,N/A
ILLINOIS,4400,1846264,43658,36051,61995,58798,64634,61432,67570,64467,66845,63605,66945,63511,66624,63300,67546,64486,69665,66100,70906,66498,76769,72646,76783,73486,74814,71838,74525,70110,13.53,N/A,N/A
INDIANA,1917,1032723,13429,10327,37451,35517,38056,35964,39396,37050,38522,36401,39355,36761,38571,36252,39256,37037,39360,37432,40355,37947,41414,39687,42287,40651,41233,40228,40234,40140,15.33,N/A,N/A
IOWA,1320,508112,15116,14294,19117,17486,17768,16894,18274,17351,18366,17127,18488,17486,18296,17438,18209,17273,18414,17445,18948,17901,20166,18867,20512,19231,19959,18843,19923,18534,14.09,N/A,N/A
KANSAS,1348,483505,12997,11410,16650,15230,17173,15937,17706,16708,17179,16392,17818,16700,17783,16842,18050,17144,17973,17236,18722,17768,19347,18308,19134,18343,18832,17955,17873,17199,13.01,N/A,N/A
KENTUCKY,1544,657520,14206,11623,24533,22932,25030,24039,26001,24416,24008,22923,24596,23115,24766,23361,23166,21381,24535,23118,25193,23177,27951,26091,26950,25592,25324,24291,22791,21788,15.30,N/A,N/A
LOUISIANA,1320,708190,12132,12802,26580,24918,28242,26562,27874,26857,26921,26070,26392,25320,26319,24852,26437,24742,26491,25154,27035,25289,31638,28997,27906,26743,24878,24891,22949,23198,14.49,N/A,N/A
MAINE,593,172545,3152,3219,5983,5680,6087,5849,6547,6120,6179,5803,6433,6065,6493,6003,6332,5983,6433,6225,6727,6143,7093,6575,7216,6633,7126,6778,7073,6532,11.29,N/A,N/A
MARYLAND,1408,890122,16841,14539,31167,29341,32417,30626,33852,31994,32637,31408,33688,31707,33461,31793,33178,31699,33727,32097,34028,32167,41213,38407,37231,34991,32908,31643,30725,30046,14.18,N/A,N/A
MASSACHUSETTS,1832,914958,18086,14008,31914,29900,33018,31260,34217,32414,33220,31456,33639,32289,34118,32815,34200,32642,34622,32980,34838,33128,38079,35471,37623,35518,36726,34816,34866,33599,11.79,N/A,N/A
MICHIGAN,3487,1426491,26493,22500,57497,53241,51531,49481,52642,50325,51571,48929,52279,49787,52008,49530,52815,49572,53370,50266,52726,50410,58892,55445,57707,55074,55861,53665,54202,54717,16.58,N/A,N/A
MINNESOTA,2720,869967,15267,9933,30567,28784,31543,29936,32503,30809,31512,30010,32322,31012,32285,30749,32501,30682,32344,30880,33078,31631,34900,32878,35571,34115,35698,34350,38260,35847,14.70,N/A,N/A
MISSISSIPPI,1032,436523,4640,4698,16488,16109,17129,16465,16893,16539,16266,15969,15426,14929,15127,14673,16205,15669,17155,16189,16584,15468,17952,17409,17497,17276,16058,16048,13797,14260,12.96,N/A,N/A
MISSOURI,2475,891248,19554,16121,31967,29829,32283,30550,33506,31644,32457,31174,33040,31646,33247,31547,33651,31513,33961,31685,34640,32180,36455,34270,35917,34527,35004,33731,33349,31800,12.77,N/A,N/A
MONTANA,840,149291,857,594,6137,5860,5596,5284,5997,5680,5856,5530,5729,5604,5924,5413,5823,5497,5829,5621,5773,5488,6177,5766,6140,5763,5645,5320,5378,5008,13.79,N/A,N/A
NEBRASKA,1098,329162,10957,8558,11597,10790,11832,11128,12021,11504,12158,11172,12065,11578,12019,11325,12085,11315,12039,11361,12414,11648,13001,12231,13129,12240,12354,11258,13162,12221,13.69,N/A,N/A
NEVADA,766,479574,7391,6121,14869,14058,16703,16119,18319,17288,17589,16728,18110,17349,18447,17534,18674,17568,18836,17779,19066,17870,19556,18289,20129,18901,19830,19096,18397,17749,21.28,N/A,N/A
NEW HAMPSHIRE,507,166594,2560,1896,5609,5292,6019,5683,6257,5875,6179,5829,6227,5917,6481,5980,6316,5983,6594,6087,6435,6030,7174,6632,6879,6528,6820,6365,6615,6259,11.49,N/A,N/A
NEW JERSEY,2561,1392567,44486,39397,46997,44253,48447,45676,49510,47436,48997,47084,49927,47753,50359,48180,51446,48535,52183,49109,52765,49689,56016,52188,55378,52120,55769,52377,55033,50682,11.80,N/A,N/A
NEW MEXICO,888,311719,5865,5019,10092,9609,10758,10211,11316,10824,11086,10465,11380,10797,11498,11134,11624,11098,11761,11418,12160,11599,14951,14116,13775,13219,12353,11825,10753,11013,14.43,N/A,N/A
NEW YORK,4836,2533449,36711,36837,88106,84123,91184,86598,92842,88868,90858,86768,92062,89003,92891,88675,93938,90290,94683,91081,97084,92114,106636,99280,104872,97341,98259,93528,95660,91189,11.65,.86,1096941
NORTH CAROLINA,2746,1544289,12507,11151,56639,53399,58446,55386,60451,57187,56661,54835,58401,55693,58879,56231,59284,56260,59583,56724,60714,57873,71965,65892,64407,61824,59743,57727,52346,52310,15.29,N/A,N/A
NORTH DAKOTA,522,119033,1815,1304,4432,4209,4795,4502,4862,4624,4659,4463,4567,4555,4599,4415,4730,4429,4456,4241,4497,4251,4672,4502,4530,4426,4305,4141,4180,3872,12.35,N/A,N/A
OHIO,3577,1675300,25933,21055,60446,57394,61674,57812,63664,60466,60322,57192,61965,58971,62364,59582,62878,58863,63766,60018,64322,60382,70034,66756,68297,65230,69305,66635,66303,63671,16.64,N/A,N/A
OKLAHOMA,1778,698761,19201,18074,25004,23450,26109,24584,26085,24781,25926,24805,25776,24205,25992,24264,25614,24245,26000,24556,26460,25328,28733,27094,27716,26274,26078,25393,23570,23277,16.34,N/A,N/A
OREGON,1296,547424,–,–,18270,17332,19743,18625,20770,19753,20558,19415,21259,20301,21297,20054,21431,20084,21610,20195,22071,20460,23368,21107,24059,22188,23418,21463,23812,21857,17.61,N/A,N/A
PENNSYLVANIA,2932,1692829,4815,5008,59602,55554,62659,58757,65170,61669,62147,59476,64989,61357,65314,61553,65948,62033,66953,63566,68018,63515,74056,69582,72945,68411,69304,65606,69723,65099,13.07,N/A,N/A
RHODE ISLAND,315,136154,1733,1318,4464,4228,4876,4622,5038,4938,4986,4616,5106,4757,4994,4941,5082,4760,5177,4899,5269,4928,5620,5248,5809,5395,5813,5328,5658,5131,12.68,N/A,N/A
SOUTH CAROLINA,1271,793860,14659,12782,28207,26178,29249,27575,29845,28353,29137,28247,29694,28130,29640,28342,30205,28914,30566,29082,30777,29565,37099,34549,32346,31300,28666,28214,25800,26639,13.87,N/A,N/A
SOUTH DAKOTA,721,141467,1697,1554,5987,5717,5391,5109,5502,5155,5379,4891,5310,5171,5406,5100,5409,5125,5361,5207,5559,5140,5939,5714,5638,5273,5254,4901,4897,4681,13.71,N/A,N/A
TENNESSEE,1906,1004625,17618,15266,37958,36030,38829,36464,39496,37829,37964,36095,38133,36276,38397,36913,38414,36102,37784,35922,38062,35677,39670,37428,39771,37482,37921,36200,36135,34786,15.13,N/A,N/A
TEXAS,9609,5532518,142513,132970,184387,177422,198016,187467,205775,196823,203933,196270,204624,194821,204242,195214,205109,195436,207567,197761,212541,201710,244717,228459,225431,214133,207300,199776,185645,182456,14.69,N/A,N/A
UTAH,1109,689883,9504,7086,23312,21920,24786,23358,26046,24824,26108,24870,26454,24934,27127,25421,26294,25108,27240,25561,27266,25942,27959,26384,28621,27016,28226,26476,26879,25069,20.57,N/A,N/A
VERMONT,306,82455,4137,3873,2651,2530,2778,2617,2922,2845,2804,2584,3127,2770,2995,2649,2936,2810,2986,2748,2970,2833,3185,2932,3260,3040,3155,2941,2843,2534,10.36,N/A,N/A
VIRGINIA,2144,1258852,18929,15816,44116,41295,46284,43598,47963,45870,46274,43955,47223,44737,47725,44714,47904,45124,47839,45237,48362,45453,54317,50696,53477,50261,50135,46953,48374,46221,13.39,N/A,N/A
WASHINGTON,2554,1093745,14613,10223,39091,36707,39481,37718,41847,39331,39871,37770,41531,38945,41636,39445,41048,38874,41672,38923,42134,39104,44205,41208,45154,42134,44823,41461,46932,43455,17.49,N/A,N/A
WEST VIRGINIA,691,246883,8038,6916,8648,7972,8635,8354,9091,8482,8672,8196,8180,7668,9294,8697,9216,8679,9447,8841,9323,8918,10763,10029,10340,9490,9440,8904,8574,8076,13.21,N/A,N/A
WISCONSIN,2225,814202,26349,23753,26667,25116,27718,26264,28645,26757,28682,26820,28949,27122,28936,27516,29375,27594,29567,28077,30376,28750,33502,31479,33598,31653,33609,31948,33647,31404,13.66,N/A,N/A
WYOMING,365,91036,376,363,3430,3166,3267,3125,3510,3260,3534,3204,3490,3329,3604,3358,3628,3275,3612,3426,3601,3549,3975,3659,3779,3652,3717,3406,3446,3295,12.22,N/A,N/A