State,publicSchoolCount
ALABAMA,1527
ALASKA,498
ARIZONA,2557
ARKANSAS,1106
CALIFORNIA,10349
COLORADO,1908
CONNECTICUT,1018
DELAWARE,235
DISTRICT OF COLUMBIA,245
FLORIDA,4248
GEORGIA,2327
HAWAII,296
IDAHO,810
ILLINOIS,4400
INDIANA,1917
IOWA,1320
KANSAS,1348
KENTUCKY,1544
LOUISIANA,1320
MAINE,593
MARYLAND,1408
MASSACHUSETTS,1832
MICHIGAN,3487
MINNESOTA,2720
MISSISSIPPI,1032
MISSOURI,2475
MONTANA,840
NEBRASKA,1098
NEVADA,766
NEW HAMPSHIRE,507
NEW JERSEY,2561
NEW MEXICO,888
NEW YORK,4836
NORTH CAROLINA,2746
NORTH DAKOTA,522
OHIO,3577
OKLAHOMA,1778
OREGON,1296
PENNSYLVANIA,2932
RHODE ISLAND,315
SOUTH CAROLINA,1271
SOUTH DAKOTA,721
TENNESSEE,1906
TEXAS,9609
UTAH,1109
VERMONT,306
VIRGINIA,2144
WASHINGTON,2554
WEST VIRGINIA,691
WISCONSIN,2225
WYOMING,365